epoch,accuracy,val_accuracy,loss,val_loss
1.0,0.4681,0.2369,1.9846,77.6517
2.0,0.3178,0.2745,66.1753,44.6076
3.0,0.3431,0.4534,39.2504,2.2068
4.0,0.5008,0.7672,2.548,2.3061
5.0,0.768,0.6446,2.0602,1.1495
6.0,0.6618,0.8072,1.1729,0.8077
7.0,0.7982,0.8047,0.8008,0.7709
8.0,0.7941,0.8088,0.7686,0.8834
9.0,0.8154,0.8407,0.8455,0.6513
10.0,0.826,0.8007,0.6663,0.8614
11.0,0.8007,0.8023,0.8305,0.8305
12.0,0.7941,0.7345,0.8311,0.984
13.0,0.7484,0.8342,0.9509,0.669
14.0,0.8301,0.8186,0.6763,0.6215
15.0,0.8194,0.8922,0.6229,0.5274
16.0,0.8856,0.8742,0.5293,0.5249
17.0,0.8717,0.8505,0.5244,0.5675
18.0,0.8358,0.8399,0.5954,0.6059
19.0,0.8464,0.8938,0.5968,0.5045
20.0,0.8856,0.8292,0.5073,0.6041
21.0,0.8301,0.8538,0.6233,0.601
22.0,0.8529,0.8407,0.5856,0.5847
23.0,0.8374,0.6095,0.6127,0.9434
24.0,0.6307,0.7672,0.9627,2.7446
25.0,0.6822,0.594,4.8833,0.9931
26.0,0.6111,0.7623,1.3425,0.7655
27.0,0.7565,0.7443,0.8223,1.4825
28.0,0.75,0.9036,1.4419,0.5113
29.0,0.9077,0.8848,0.508,0.4821
30.0,0.8897,0.9183,0.4745,0.4203
31.0,0.9216,0.9257,0.4157,0.4354
32.0,0.9248,0.9257,0.4401,0.45
33.0,0.9167,0.8717,0.4572,0.5151
34.0,0.8676,0.933,0.5182,0.416
35.0,0.9322,0.9306,0.4114,0.4019
36.0,0.9289,0.8995,0.4067,0.4722
37.0,0.8832,0.8023,0.5004,0.8256
38.0,0.817,0.9208,0.7779,0.3905
39.0,0.9257,0.9044,0.3842,0.4198
40.0,0.8987,0.8905,0.434,0.5193
41.0,0.9003,0.9404,0.4858,0.3525
42.0,0.9412,0.9232,0.3511,0.4097
43.0,0.9085,0.8505,0.4295,0.6406
44.0,0.857,0.8799,0.6221,0.4594
45.0,0.8587,0.8448,0.5031,0.8887
46.0,0.7639,0.7296,2.605,0.8619
47.0,0.7435,0.5899,1.0331,1.6824
48.0,0.5989,0.2516,1.6538,3.6538
49.0,0.357,0.9436,3.1659,0.4551
50.0,0.9461,0.9551,0.4504,0.4022
